"state","x","y","se","indep_var","dep_var"
"California",0.0917,-0.0862199848976832,0.00175469895852642,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.1534,-0.0438663027685884,0.00168189639224533,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.193,-0.0184477159242071,0.00166502385764453,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.2273,0,0,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.2603,0.0154849317131127,0.0016208671329417,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.2934,0.0304183384168812,0.00161423068554114,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.3282,0.0422160792512543,0.00161945111317096,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.3661,0.0577701298131945,0.00164266268909802,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.4096,0.0689018359235778,0.00170661219806611,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.4618,0.0823525458579475,0.00181003072324923,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.5348,0.0933063315288187,0.00212698626334098,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"California",0.6877,0.106011686525482,0.00300818200926716,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.0614,-0.0440314041551595,0.00246620847997259,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.1075,-0.0229067467193556,0.00238853109819086,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.14,-0.00527626336664611,0.00222878686644338,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.1702,0,0,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.1991,0.00820223085288063,0.00221436980726141,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.2295,0.0170783980791533,0.00217566546866145,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.2621,0.0248262178849394,0.00222128405368843,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.2988,0.0312744519091694,0.00226322299630981,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.3421,0.0420684589013103,0.00240780056733935,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.3948,0.0517996798423965,0.00272243261102515,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.4705,0.0642845364400113,0.00333306282472964,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"New York",0.6364,0.0764051289348089,0.00510993181740327,"fraction_long_edges_bracket_mean","zip_log_income_median_family"
"Pennsylvania",0.0611,-0.0890873786373416,0.0091765527664063,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.1073,-0.0506117697814341,0.00912654072871613,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.139,-0.0220580793449003,0.00832569901322256,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.1673,0,0,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.195,0.00543469186733025,0.00800046323527626,"fraction_long_edges_bracket_mean","num_devices"
"Pennsylvania",0.2232,0.0447806890484359,0.00824721055131625,"fraction_long_edges_bracket_mean","num_devices"
