"county_fips","mean_degree_bracket","fill_var_bracket","fill_var_bracket_decile","fips"
1031,"23","[0.021,0.033)","8",1031
4001,"14","[0.021,0.033)","8",4001
12059,"20","[-0.011,-0.0028)","5",12059
12071,"5","[0.033,0.052)","9",12071
40071,"4","[-0.046,-0.032)","2",40071
24045,"17","[-0.0028,0.0083)","6",24045
21007,"29","[-0.0028,0.0083)","6",21007
23003,"1","[-0.22,-0.046)","1",23003
45043,"27","[0.0083,0.021)","7",45043
45017,"30","[0.021,0.033)","8",45017
46029,"3","[-0.0028,0.0083)","6",46029
54027,"14","[-0.0028,0.0083)","6",54027
28141,"21","[-0.046,-0.032)","2",28141
28159,"28","[-0.22,-0.046)","1",28159
5061,"26","[-0.22,-0.046)","1",5061
13085,"26","[0.052,0.11]","10",13085
6011,"1","[-0.22,-0.046)","1",6011
17155,"25","[0.0083,0.021)","7",17155
18141,"5","[-0.0028,0.0083)","6",18141
19103,"4","[0.033,0.052)","9",19103
17055,"13","[-0.032,-0.021)","3",17055
20013,"13","[-0.032,-0.021)","3",20013
1053,"21","[-0.22,-0.046)","1",1053
37137,"26","[-0.0028,0.0083)","6",37137
40059,"25","[-0.032,-0.021)","3",40059
40039,"15","[-0.011,-0.0028)","5",40039
40131,"20","[0.033,0.052)","9",40131
42067,"6","[-0.032,-0.021)","3",42067
46011,"3","[0.0083,0.021)","7",46011
54001,"17","[-0.046,-0.032)","2",54001
48027,"17","[0.052,0.11]","10",48027
31019,"3","[0.0083,0.021)","7",31019
31089,"5","[-0.22,-0.046)","1",31089
48339,"16","[0.052,0.11]","10",48339
33015,"13","[0.052,0.11]","10",33015
48497,"24","[0.033,0.052)","9",48497
13265,"30","[-0.0028,0.0083)","6",13265
5049,"23","[0.0083,0.021)","7",5049
8043,"5","[0.033,0.052)","9",8043
21131,"24","[-0.22,-0.046)","1",21131
46117,"27","[0.033,0.052)","9",46117
39145,"5","[-0.22,-0.046)","1",39145
54077,"11","[-0.046,-0.032)","2",54077
22033,"12","[0.021,0.033)","8",22033
34031,"3","[-0.011,-0.0028)","5",34031
5113,"8","[-0.032,-0.021)","3",5113
47053,"25","[-0.021,-0.011)","4",47053
37089,"10","[0.052,0.11]","10",37089
38005,"6","[-0.22,-0.046)","1",38005
39085,"7","[0.021,0.033)","8",39085
30079,"20","[0.0083,0.021)","7",30079
48255,"25","[-0.046,-0.032)","2",48255
48381,"26","[0.052,0.11]","10",48381
28119,"30","[-0.032,-0.021)","3",28119
29047,"23","[0.052,0.11]","10",29047
29085,"23","[0.033,0.052)","9",29085
18029,"20","[0.0083,0.021)","7",18029
6089,"1","[-0.0028,0.0083)","6",6089
17047,"25","[-0.021,-0.011)","4",17047
40017,"26","[0.052,0.11]","10",40017
40019,"8","[-0.021,-0.011)","4",40019
40115,"11","[-0.021,-0.011)","4",40115
2020,"4","[0.021,0.033)","8",2020
54043,"25","[-0.046,-0.032)","2",54043
21203,"21","[-0.046,-0.032)","2",21203
27083,"2","[-0.046,-0.032)","2",27083
39167,"10","[-0.011,-0.0028)","5",39167
51155,"17","[-0.0028,0.0083)","6",51155
51680,"15","[0.033,0.052)","9",51680
53037,"5","[0.033,0.052)","9",53037
47185,"16","[-0.0028,0.0083)","6",47185
12019,"22","[0.052,0.11]","10",12019
25001,"5","[0.033,0.052)","9",25001
40007,"24","[-0.011,-0.0028)","5",40007
48091,"23","[0.052,0.11]","10",48091
21181,"25","[-0.22,-0.046)","1",21181
8001,"7","[0.052,0.11]","10",8001
37099,"13","[0.033,0.052)","9",37099
37183,"9","[0.033,0.052)","9",37183
39083,"9","[0.0083,0.021)","7",39083
55045,"10","[-0.0028,0.0083)","6",55045
31185,"6","[-0.0028,0.0083)","6",31185
31081,"17","[0.0083,0.021)","7",31081
48069,"13","[-0.22,-0.046)","1",48069
13261,"25","[-0.22,-0.046)","1",13261
20025,"25","[0.0083,0.021)","7",20025
17033,"5","[-0.22,-0.046)","1",17033
48029,"1","[0.0083,0.021)","7",48029
48463,"15","[-0.22,-0.046)","1",48463
18109,"21","[0.021,0.033)","8",18109
13067,"24","[0.052,0.11]","10",13067
24021,"12","[0.052,0.11]","10",24021
26101,"11","[-0.0028,0.0083)","6",26101
21233,"27","[-0.021,-0.011)","4",21233
26047,"11","[0.033,0.052)","9",26047
22119,"25","[-0.046,-0.032)","2",22119
34025,"8","[0.021,0.033)","8",34025
36123,"16","[-0.0028,0.0083)","6",36123
37065,"30","[0.0083,0.021)","7",37065
37179,"19","[0.033,0.052)","9",37179
38007,"28","[0.052,0.11]","10",38007
42025,"17","[0.0083,0.021)","7",42025
44001,"15","[0.033,0.052)","9",44001
48371,"14","[-0.046,-0.032)","2",48371
28099,"22","[-0.22,-0.046)","1",28099
51065,"25","[0.033,0.052)","9",51065
53013,"9","[0.021,0.033)","8",53013
18027,"9","[-0.22,-0.046)","1",18027
20155,"3","[-0.0028,0.0083)","6",20155
13155,"30","[-0.0028,0.0083)","6",13155
19197,"8","[-0.046,-0.032)","2",19197
26165,"13","[0.0083,0.021)","7",26165
6037,"1","[0.052,0.11]","10",6037
37131,"30","[-0.0028,0.0083)","6",37131
39011,"12","[-0.011,-0.0028)","5",39011
39041,"20","[0.052,0.11]","10",39041
48071,"28","[0.033,0.052)","9",48071
48347,"13","[-0.021,-0.011)","4",48347
31161,"18","[-0.021,-0.011)","4",31161
31027,"13","[-0.021,-0.011)","4",31027
51137,"26","[0.033,0.052)","9",51137
18157,"5","[0.021,0.033)","8",18157
18123,"11","[-0.22,-0.046)","1",18123
18013,"25","[0.033,0.052)","9",18013
48179,"10","[-0.032,-0.021)","3",48179
12009,"5","[0.033,0.052)","9",12009
19071,"23","[-0.0028,0.0083)","6",19071
21063,"25","[-0.22,-0.046)","1",21063
22081,"29","[-0.22,-0.046)","1",22081
13021,"14","[-0.011,-0.0028)","5",13021
27063,"8","[-0.0028,0.0083)","6",27063
29103,"22","[-0.046,-0.032)","2",29103
30017,"5","[-0.0028,0.0083)","6",30017
1129,"29","[-0.046,-0.032)","2",1129
31119,"4","[-0.011,-0.0028)","5",31119
5011,"25","[-0.22,-0.046)","1",5011
38047,"13","[-0.0028,0.0083)","6",38047
55021,"12","[0.033,0.052)","9",55021
47119,"21","[0.033,0.052)","9",47119
29221,"10","[-0.22,-0.046)","1",29221
48113,"3","[0.021,0.033)","8",48113
48275,"28","[-0.021,-0.011)","4",48275
48335,"25","[-0.011,-0.0028)","5",48335
50019,"4","[-0.032,-0.021)","3",50019
28125,"30","[-0.22,-0.046)","1",28125
51750,"23","[0.033,0.052)","9",51750
18113,"11","[-0.011,-0.0028)","5",18113
18067,"7","[-0.0028,0.0083)","6",18067
21229,"28","[-0.011,-0.0028)","5",21229
17195,"9","[-0.046,-0.032)","2",17195
12023,"12","[0.0083,0.021)","7",12023
39003,"6","[-0.046,-0.032)","2",39003
40031,"11","[0.033,0.052)","9",40031
16005,"1","[-0.0028,0.0083)","6",16005
20195,"14","[-0.021,-0.011)","4",20195
48021,"18","[0.033,0.052)","9",48021
30007,"16","[0.052,0.11]","10",30007
34015,"22","[0.033,0.052)","9",34015
36049,"11","[-0.046,-0.032)","2",36049
37061,"22","[-0.032,-0.021)","3",37061
39081,"14","[-0.046,-0.032)","2",39081
40143,"2","[-0.0028,0.0083)","6",40143
55031,"7","[0.0083,0.021)","7",55031
34011,"5","[-0.046,-0.032)","2",34011
51105,"10","[-0.22,-0.046)","1",51105
29079,"13","[-0.032,-0.021)","3",29079
51143,"28","[-0.0028,0.0083)","6",51143
18055,"17","[-0.032,-0.021)","3",18055
6039,"2","[-0.021,-0.011)","4",6039
6105,"5","[-0.0028,0.0083)","6",6105
51510,"10","[0.052,0.11]","10",51510
8117,"3","[0.052,0.11]","10",8117
47029,"8","[-0.021,-0.011)","4",47029
18039,"3","[-0.0028,0.0083)","6",18039
38095,"20","[-0.011,-0.0028)","5",38095
46041,"12","[-0.22,-0.046)","1",46041
13229,"25","[-0.0028,0.0083)","6",13229
48355,"3","[-0.011,-0.0028)","5",48355
21177,"10","[-0.22,-0.046)","1",21177
42005,"14","[-0.011,-0.0028)","5",42005
46069,"27","[-0.0028,0.0083)","6",46069
31087,"23","[0.0083,0.021)","7",31087
48343,"29","[-0.0028,0.0083)","6",48343
48031,"25","[0.052,0.11]","10",48031
51021,"29","[-0.0028,0.0083)","6",51021
18079,"12","[-0.011,-0.0028)","5",18079
16081,"3","[0.052,0.11]","10",16081
13215,"18","[0.021,0.033)","8",13215
5037,"26","[-0.032,-0.021)","3",5037
20173,"1","[0.0083,0.021)","7",20173
20009,"3","[-0.046,-0.032)","2",20009
30083,"7","[-0.0028,0.0083)","6",30083
55061,"8","[-0.011,-0.0028)","5",55061
48171,"14","[0.052,0.11]","10",48171
28039,"20","[-0.032,-0.021)","3",28039
51121,"7","[0.021,0.033)","8",51121
51710,"22","[0.052,0.11]","10",51710
5133,"11","[-0.22,-0.046)","1",5133
28035,"26","[0.0083,0.021)","7",28035
27159,"9","[0.0083,0.021)","7",27159
31059,"13","[0.0083,0.021)","7",31059
56001,"3","[0.052,0.11]","10",56001
36053,"15","[0.0083,0.021)","7",36053
37069,"27","[0.021,0.033)","8",37069
37123,"21","[-0.032,-0.021)","3",37123
38051,"15","[-0.046,-0.032)","2",38051
45023,"28","[-0.021,-0.011)","4",45023
55089,"7","[0.052,0.11]","10",55089
31025,"21","[0.033,0.052)","9",31025
36095,"14","[0.0083,0.021)","7",36095
18175,"14","[-0.011,-0.0028)","5",18175
39115,"17","[-0.046,-0.032)","2",39115
1115,"23","[0.021,0.033)","8",1115
33001,"14","[0.052,0.11]","10",33001
6091,"22","[0.033,0.052)","9",6091
56031,"10","[0.0083,0.021)","7",56031
37195,"21","[-0.021,-0.011)","4",37195
38009,"19","[-0.011,-0.0028)","5",38009
46033,"24","[0.052,0.11]","10",46033
56027,"14","[0.0083,0.021)","7",56027
48419,"17","[-0.22,-0.046)","1",48419
48227,"9","[-0.032,-0.021)","3",48227
48479,"1","[-0.021,-0.011)","4",48479
28149,"20","[-0.22,-0.046)","1",28149
51149,"29","[0.052,0.11]","10",51149
47087,"25","[-0.011,-0.0028)","5",47087
6073,"1","[0.052,0.11]","10",6073
42077,"6","[0.033,0.052)","9",42077
42099,"13","[0.033,0.052)","9",42099
8047,"20","[0.052,0.11]","10",8047
47163,"11","[0.021,0.033)","8",47163
2170,"11","[0.052,0.11]","10",2170
20179,"17","[-0.046,-0.032)","2",20179
40117,"23","[0.0083,0.021)","7",40117
42069,"2","[-0.22,-0.046)","1",42069
54069,"20","[-0.0028,0.0083)","6",54069
29111,"18","[-0.021,-0.011)","4",29111
48175,"28","[0.0083,0.021)","7",48175
51171,"12","[0.021,0.033)","8",51171
19087,"11","[-0.011,-0.0028)","5",19087
28123,"22","[-0.22,-0.046)","1",28123
17169,"21","[-0.046,-0.032)","2",17169
46085,"22","[-0.046,-0.032)","2",46085
26075,"5","[-0.011,-0.0028)","5",26075
19109,"7","[-0.046,-0.032)","2",19109
25009,"2","[-0.0028,0.0083)","6",25009
22061,"27","[-0.011,-0.0028)","5",22061
36099,"15","[-0.0028,0.0083)","6",36099
38093,"3","[-0.021,-0.011)","4",38093
40119,"8","[0.033,0.052)","9",40119
46101,"10","[-0.0028,0.0083)","6",46101
29225,"20","[0.021,0.033)","8",29225
48337,"21","[-0.0028,0.0083)","6",48337
48439,"6","[0.033,0.052)","9",48439
42101,"1","[-0.011,-0.0028)","5",42101
13047,"27","[0.052,0.11]","10",13047
51760,"8","[0.033,0.052)","9",51760
17163,"18","[0.0083,0.021)","7",17163
12031,"4","[0.033,0.052)","9",12031
5045,"21","[0.033,0.052)","9",5045
13173,"28","[-0.0028,0.0083)","6",13173
55125,"13","[0.021,0.033)","8",55125
24001,"5","[-0.22,-0.046)","1",24001
32009,"17","[0.052,0.11]","10",32009
1101,"15","[-0.021,-0.011)","4",1101
37079,"29","[-0.0028,0.0083)","6",37079
48067,"25","[-0.021,-0.011)","4",48067
51630,"23","[0.052,0.11]","10",51630
13185,"20","[-0.0028,0.0083)","6",13185
18165,"23","[-0.011,-0.0028)","5",18165
25023,"5","[-0.0028,0.0083)","6",25023
17023,"16","[-0.046,-0.032)","2",17023
17113,"6","[0.021,0.033)","8",17113
21095,"8","[-0.22,-0.046)","1",21095
48433,"29","[-0.046,-0.032)","2",48433
21169,"26","[-0.032,-0.021)","3",21169
22051,"17","[0.021,0.033)","8",22051
41015,"7","[0.033,0.052)","9",41015
29061,"20","[-0.032,-0.021)","3",29061
31155,"18","[0.033,0.052)","9",31155
35043,"20","[0.052,0.11]","10",35043
17045,"10","[-0.22,-0.046)","1",17045
20165,"19","[0.021,0.033)","8",20165
21069,"25","[-0.046,-0.032)","2",21069
31001,"4","[0.0083,0.021)","7",31001
36109,"5","[0.021,0.033)","8",36109
56035,"10","[0.033,0.052)","9",56035
39063,"9","[0.0083,0.021)","7",39063
39035,"2","[0.0083,0.021)","7",39035
41071,"3","[0.033,0.052)","9",41071
41027,"3","[0.033,0.052)","9",41027
55019,"4","[-0.021,-0.011)","4",55019
29107,"16","[0.0083,0.021)","7",29107
30091,"11","[-0.046,-0.032)","2",30091
30059,"17","[0.033,0.052)","9",30059
31085,"18","[-0.011,-0.0028)","5",31085
35009,"5","[-0.021,-0.011)","4",35009
28155,"30","[-0.011,-0.0028)","5",28155
29229,"12","[-0.021,-0.011)","4",29229
51071,"15","[-0.021,-0.011)","4",51071
5055,"11","[-0.021,-0.011)","4",5055
6005,"9","[0.033,0.052)","9",6005
48477,"20","[-0.0028,0.0083)","6",48477
12015,"21","[0.052,0.11]","10",12015
17043,"7","[0.033,0.052)","9",17043
2220,"7","[0.0083,0.021)","7",2220
27009,"13","[0.052,0.11]","10",27009
6045,"1","[-0.046,-0.032)","2",6045
37019,"23","[0.052,0.11]","10",37019
47177,"6","[-0.22,-0.046)","1",47177
30109,"26","[-0.0028,0.0083)","6",30109
48239,"21","[-0.032,-0.021)","3",48239
28147,"30","[-0.021,-0.011)","4",28147
47091,"8","[-0.032,-0.021)","3",47091
47175,"25","[-0.0028,0.0083)","6",47175
18019,"19","[0.033,0.052)","9",18019
16087,"9","[0.0083,0.021)","7",16087
17191,"12","[-0.22,-0.046)","1",17191
21239,"27","[0.033,0.052)","9",21239
12033,"7","[0.033,0.052)","9",12033
48385,"26","[-0.0028,0.0083)","6",48385
21119,"28","[-0.22,-0.046)","1",21119
31015,"15","[-0.032,-0.021)","3",31015
1131,"30","[-0.046,-0.032)","2",1131
2150,"4","[-0.021,-0.011)","4",2150
36101,"6","[-0.032,-0.021)","3",36101
37115,"19","[0.021,0.033)","8",37115
18057,"13","[0.052,0.11]","10",18057
29039,"10","[-0.011,-0.0028)","5",29039
51139,"6","[-0.22,-0.046)","1",51139
47153,"19","[-0.021,-0.011)","4",47153
17203,"20","[0.0083,0.021)","7",17203
13285,"19","[-0.046,-0.032)","2",13285
13213,"12","[-0.011,-0.0028)","5",13213
12047,"25","[-0.0028,0.0083)","6",12047
16073,"14","[0.033,0.052)","9",16073
20183,"16","[-0.032,-0.021)","3",20183
48395,"27","[-0.021,-0.011)","4",48395
21189,"20","[-0.22,-0.046)","1",21189
27073,"9","[-0.032,-0.021)","3",27073
29007,"10","[-0.032,-0.021)","3",29007
1077,"17","[-0.021,-0.011)","4",1077
24039,"28","[-0.011,-0.0028)","5",24039
31093,"22","[0.0083,0.021)","7",31093
8021,"18","[-0.011,-0.0028)","5",8021
39037,"7","[-0.032,-0.021)","3",39037
29043,"22","[0.052,0.11]","10",29043
48445,"21","[-0.046,-0.032)","2",48445
49023,"5","[-0.0028,0.0083)","6",49023
5031,"21","[-0.0028,0.0083)","6",5031
13035,"29","[0.033,0.052)","9",13035
17011,"14","[-0.011,-0.0028)","5",17011
12111,"11","[0.052,0.11]","10",12111
12001,"5","[0.021,0.033)","8",12001
37071,"15","[0.021,0.033)","8",37071
46107,"20","[-0.032,-0.021)","3",46107
18127,"19","[0.033,0.052)","9",18127
20003,"16","[-0.0028,0.0083)","6",20003
1123,"24","[-0.22,-0.046)","1",1123
36073,"13","[-0.021,-0.011)","4",36073
56033,"4","[0.033,0.052)","9",56033
39101,"5","[-0.032,-0.021)","3",39101
42109,"14","[0.0083,0.021)","7",42109
45029,"22","[-0.021,-0.011)","4",45029
45081,"27","[-0.021,-0.011)","4",45081
48467,"22","[0.021,0.033)","8",48467
29001,"6","[-0.032,-0.021)","3",29001
