"county_fips","mean_degree_bracket","fill_var_bracket","fill_var_bracket_decile","fips"
17003,"30","[-0.011,-0.0028)","5",17003
20043,"23","[-0.021,-0.011)","4",20043
26105,"7","[-0.0028,0.0083)","6",26105
27149,"4","[-0.021,-0.011)","4",27149
22005,"26","[0.0083,0.021)","7",22005
37083,"26","[-0.22,-0.046)","1",37083
38037,"16","[-0.0028,0.0083)","6",38037
42123,"5","[-0.046,-0.032)","2",42123
45041,"21","[-0.021,-0.011)","4",45041
54047,"23","[-0.22,-0.046)","1",54047
48123,"22","[-0.021,-0.011)","4",48123
48099,"24","[0.052,0.11]","10",48099
51730,"29","[0.0083,0.021)","7",51730
47023,"27","[-0.011,-0.0028)","5",47023
18149,"16","[-0.011,-0.0028)","5",18149
16055,"4","[0.052,0.11]","10",16055
28071,"26","[-0.0028,0.0083)","6",28071
8061,"21","[-0.032,-0.021)","3",8061
8085,"3","[0.033,0.052)","9",8085
19079,"8","[-0.021,-0.011)","4",19079
13031,"20","[-0.0028,0.0083)","6",13031
41065,"4","[0.0083,0.021)","7",41065
36019,"1","[-0.22,-0.046)","1",36019
38069,"15","[-0.032,-0.021)","3",38069
42035,"7","[-0.032,-0.021)","3",42035
45025,"23","[-0.046,-0.032)","2",45025
54033,"9","[-0.032,-0.021)","3",54033
56037,"2","[-0.032,-0.021)","3",56037
47051,"17","[-0.021,-0.011)","4",47051
17153,"29","[-0.046,-0.032)","2",17153
8115,"14","[0.0083,0.021)","7",8115
8027,"20","[0.052,0.11]","10",8027
36035,"8","[-0.021,-0.011)","4",36035
48035,"26","[0.021,0.033)","8",48035
12069,"17","[0.052,0.11]","10",12069
18033,"12","[0.0083,0.021)","7",18033
16021,"7","[0.021,0.033)","8",16021
26009,"18","[0.033,0.052)","9",26009
20007,"17","[-0.032,-0.021)","3",20007
24510,"6","[0.033,0.052)","9",24510
39015,"22","[0.0083,0.021)","7",39015
53071,"2","[0.0083,0.021)","7",53071
31111,"3","[-0.021,-0.011)","4",31111
50011,"4","[-0.032,-0.021)","3",50011
49007,"3","[-0.032,-0.021)","3",49007
29019,"5","[0.021,0.033)","8",29019
48083,"23","[-0.011,-0.0028)","5",48083
38021,"11","[-0.032,-0.021)","3",38021
27143,"10","[0.0083,0.021)","7",27143
13063,"30","[0.052,0.11]","10",13063
20151,"9","[-0.0028,0.0083)","6",20151
20055,"1","[-0.22,-0.046)","1",20055
20087,"24","[0.021,0.033)","8",20087
34003,"3","[0.0083,0.021)","7",34003
5107,"27","[-0.22,-0.046)","1",5107
38103,"14","[-0.032,-0.021)","3",38103
30061,"16","[0.033,0.052)","9",30061
51135,"26","[-0.021,-0.011)","4",51135
18007,"23","[0.0083,0.021)","7",18007
48473,"25","[0.033,0.052)","9",48473
9015,"9","[0.0083,0.021)","7",9015
38017,"2","[0.0083,0.021)","7",38017
46099,"1","[0.0083,0.021)","7",46099
25007,"2","[0.0083,0.021)","7",25007
46037,"14","[-0.021,-0.011)","4",46037
30111,"1","[0.021,0.033)","8",30111
29049,"22","[0.033,0.052)","9",29049
17151,"30","[0.021,0.033)","8",17151
45061,"30","[-0.011,-0.0028)","5",45061
12003,"15","[-0.021,-0.011)","4",12003
27091,"3","[-0.046,-0.032)","2",27091
24009,"23","[0.033,0.052)","9",24009
26069,"15","[0.0083,0.021)","7",26069
21221,"26","[-0.0028,0.0083)","6",21221
22013,"30","[-0.021,-0.011)","4",22013
28107,"28","[-0.22,-0.046)","1",28107
36001,"10","[0.021,0.033)","8",36001
37127,"27","[-0.0028,0.0083)","6",37127
30067,"10","[0.052,0.11]","10",30067
48053,"20","[0.033,0.052)","9",48053
51127,"28","[0.052,0.11]","10",51127
18069,"9","[-0.0028,0.0083)","6",18069
13077,"24","[0.033,0.052)","9",13077
16063,"6","[0.021,0.033)","8",16063
29083,"11","[-0.0028,0.0083)","6",29083
8063,"6","[-0.032,-0.021)","3",8063
36097,"22","[0.021,0.033)","8",36097
13111,"20","[0.021,0.033)","8",13111
18085,"7","[0.0083,0.021)","7",18085
17067,"18","[-0.021,-0.011)","4",17067
26035,"16","[0.0083,0.021)","7",26035
26099,"10","[0.021,0.033)","8",26099
17087,"27","[-0.0028,0.0083)","6",17087
13221,"29","[0.0083,0.021)","7",13221
17167,"5","[-0.011,-0.0028)","5",17167
24013,"16","[0.052,0.11]","10",24013
26021,"9","[-0.021,-0.011)","4",26021
21045,"17","[-0.22,-0.046)","1",21045
29197,"23","[-0.021,-0.011)","4",29197
22117,"20","[-0.22,-0.046)","1",22117
22057,"18","[-0.22,-0.046)","1",22057
8015,"8","[0.052,0.11]","10",8015
40033,"26","[-0.011,-0.0028)","5",40033
40029,"20","[-0.046,-0.032)","2",40029
53057,"3","[0.033,0.052)","9",53057
53059,"13","[0.033,0.052)","9",53059
48295,"21","[-0.021,-0.011)","4",48295
49041,"2","[-0.032,-0.021)","3",49041
51005,"7","[-0.22,-0.046)","1",51005
47099,"9","[-0.046,-0.032)","2",47099
19011,"18","[0.0083,0.021)","7",19011
29201,"21","[-0.032,-0.021)","3",29201
42031,"9","[-0.046,-0.032)","2",42031
45011,"27","[-0.046,-0.032)","2",45011
18121,"24","[-0.021,-0.011)","4",18121
12103,"7","[0.052,0.11]","10",12103
38101,"4","[0.021,0.033)","8",38101
27039,"13","[0.033,0.052)","9",27039
13289,"30","[-0.011,-0.0028)","5",13289
20141,"16","[-0.032,-0.021)","3",20141
20115,"13","[0.0083,0.021)","7",20115
21183,"13","[-0.22,-0.046)","1",21183
22111,"28","[-0.021,-0.011)","4",22111
37189,"9","[0.033,0.052)","9",37189
40113,"23","[0.0083,0.021)","7",40113
48055,"18","[0.021,0.033)","8",48055
31129,"12","[-0.032,-0.021)","3",31129
50009,"27","[0.021,0.033)","8",50009
28021,"30","[-0.046,-0.032)","2",28021
49001,"5","[-0.22,-0.046)","1",49001
47073,"20","[-0.011,-0.0028)","5",47073
21079,"29","[0.0083,0.021)","7",21079
13313,"4","[-0.011,-0.0028)","5",13313
17147,"24","[-0.0028,0.0083)","6",17147
49017,"10","[0.021,0.033)","8",49017
22015,"26","[0.033,0.052)","9",22015
46051,"8","[-0.011,-0.0028)","5",46051
51157,"23","[0.052,0.11]","10",51157
28001,"28","[-0.046,-0.032)","2",28001
29215,"11","[-0.032,-0.021)","3",29215
37067,"10","[0.033,0.052)","9",37067
20121,"17","[0.021,0.033)","8",20121
13125,"29","[-0.021,-0.011)","4",13125
5069,"24","[-0.046,-0.032)","2",5069
55117,"1","[-0.032,-0.021)","3",55117
21125,"18","[-0.032,-0.021)","3",21125
21097,"23","[-0.032,-0.021)","3",21097
31023,"14","[0.0083,0.021)","7",31023
6085,"1","[0.052,0.11]","10",6085
31043,"9","[-0.011,-0.0028)","5",31043
32029,"23","[0.052,0.11]","10",32029
49027,"1","[-0.22,-0.046)","1",49027
28053,"30","[-0.046,-0.032)","2",28053
47187,"22","[0.052,0.11]","10",47187
45071,"23","[-0.032,-0.021)","3",45071
8014,"12","[0.052,0.11]","10",8014
12095,"5","[0.052,0.11]","10",12095
13159,"29","[0.0083,0.021)","7",13159
55039,"3","[0.0083,0.021)","7",55039
49049,"1","[0.052,0.11]","10",49049
21165,"28","[-0.032,-0.021)","3",21165
47117,"21","[0.0083,0.021)","7",47117
41043,"3","[0.021,0.033)","8",41043
41001,"4","[0.0083,0.021)","7",41001
56005,"4","[0.0083,0.021)","7",56005
49029,"7","[0.052,0.11]","10",49029
51011,"26","[-0.011,-0.0028)","5",51011
51145,"27","[0.052,0.11]","10",51145
17149,"10","[-0.22,-0.046)","1",17149
9009,"2","[-0.032,-0.021)","3",9009
56021,"4","[0.052,0.11]","10",56021
48329,"9","[0.021,0.033)","8",48329
13189,"27","[-0.032,-0.021)","3",13189
27131,"5","[0.021,0.033)","8",27131
13009,"23","[-0.032,-0.021)","3",13009
5131,"7","[0.021,0.033)","8",5131
26139,"5","[0.021,0.033)","8",26139
21161,"26","[-0.046,-0.032)","2",21161
27133,"5","[-0.0028,0.0083)","6",27133
21179,"18","[-0.021,-0.011)","4",21179
27089,"19","[-0.021,-0.011)","4",27089
40009,"16","[-0.021,-0.011)","4",40009
42115,"16","[-0.0028,0.0083)","6",42115
53053,"3","[0.052,0.11]","10",53053
48233,"9","[-0.046,-0.032)","2",48233
42043,"7","[0.0083,0.021)","7",42043
47021,"26","[0.052,0.11]","10",47021
18005,"5","[-0.0028,0.0083)","6",18005
16023,"10","[0.0083,0.021)","7",16023
6023,"1","[-0.021,-0.011)","4",6023
6065,"2","[0.021,0.033)","8",6065
47045,"18","[-0.046,-0.032)","2",47045
12067,"20","[-0.011,-0.0028)","5",12067
38097,"18","[-0.0028,0.0083)","6",38097
20039,"19","[-0.011,-0.0028)","5",20039
12091,"12","[0.052,0.11]","10",12091
19129,"21","[0.021,0.033)","8",19129
27033,"4","[-0.046,-0.032)","2",27033
22097,"25","[-0.032,-0.021)","3",22097
2016,"6","[-0.046,-0.032)","2",2016
38015,"4","[0.033,0.052)","9",38015
41017,"3","[0.052,0.11]","10",41017
46017,"10","[-0.22,-0.046)","1",46017
54031,"16","[-0.046,-0.032)","2",54031
34021,"6","[-0.011,-0.0028)","5",34021
48461,"27","[-0.021,-0.011)","4",48461
28075,"15","[-0.046,-0.032)","2",28075
51119,"27","[0.033,0.052)","9",51119
13073,"27","[0.052,0.11]","10",13073
51043,"26","[0.052,0.11]","10",51043
38023,"15","[-0.046,-0.032)","2",38023
21145,"20","[-0.0028,0.0083)","6",21145
39029,"7","[-0.032,-0.021)","3",39029
26015,"16","[0.033,0.052)","9",26015
26051,"20","[-0.011,-0.0028)","5",26051
22009,"12","[-0.22,-0.046)","1",22009
35005,"1","[-0.046,-0.032)","2",35005
36077,"9","[-0.0028,0.0083)","6",36077
40133,"16","[-0.011,-0.0028)","5",40133
46031,"11","[-0.22,-0.046)","1",46031
54063,"25","[-0.021,-0.011)","4",54063
29063,"27","[0.021,0.033)","8",29063
47081,"21","[0.0083,0.021)","7",47081
51037,"28","[-0.0028,0.0083)","6",51037
6077,"1","[-0.032,-0.021)","3",6077
36115,"17","[-0.0028,0.0083)","6",36115
12041,"22","[0.021,0.033)","8",12041
18073,"19","[0.0083,0.021)","7",18073
8077,"1","[0.021,0.033)","8",8077
13083,"22","[0.0083,0.021)","7",13083
2240,"14","[0.0083,0.021)","7",2240
29139,"19","[-0.011,-0.0028)","5",29139
30055,"15","[-0.032,-0.021)","3",30055
28137,"30","[0.0083,0.021)","7",28137
37139,"25","[0.0083,0.021)","7",37139
48499,"22","[0.021,0.033)","8",48499
47103,"19","[-0.011,-0.0028)","5",47103
47079,"16","[-0.011,-0.0028)","5",47079
5003,"20","[-0.22,-0.046)","1",5003
16025,"17","[0.033,0.052)","9",16025
13255,"25","[-0.0028,0.0083)","6",13255
38073,"13","[-0.032,-0.021)","3",38073
2105,"28","[-0.032,-0.021)","3",2105
2090,"7","[0.052,0.11]","10",2090
19047,"3","[-0.22,-0.046)","1",19047
19019,"12","[-0.011,-0.0028)","5",19019
21137,"25","[-0.032,-0.021)","3",21137
48075,"22","[-0.046,-0.032)","2",48075
31113,"25","[0.021,0.033)","8",31113
38013,"20","[-0.046,-0.032)","2",38013
30031,"2","[0.052,0.11]","10",30031
28045,"22","[0.0083,0.021)","7",28045
28003,"18","[-0.046,-0.032)","2",28003
17093,"24","[0.052,0.11]","10",17093
17061,"18","[-0.046,-0.032)","2",17061
13101,"27","[-0.0028,0.0083)","6",13101
13181,"28","[-0.011,-0.0028)","5",13181
8081,"4","[0.0083,0.021)","7",8081
37169,"24","[0.0083,0.021)","7",37169
48077,"29","[0.0083,0.021)","7",48077
31065,"17","[-0.011,-0.0028)","5",31065
29195,"5","[-0.22,-0.046)","1",29195
51133,"27","[0.0083,0.021)","7",51133
18053,"6","[-0.032,-0.021)","3",18053
16047,"5","[0.0083,0.021)","7",16047
51163,"6","[-0.046,-0.032)","2",51163
17009,"23","[-0.046,-0.032)","2",17009
8009,"10","[-0.046,-0.032)","2",8009
12043,"26","[-0.0028,0.0083)","6",12043
17129,"26","[0.0083,0.021)","7",17129
21067,"9","[0.021,0.033)","8",21067
17183,"6","[-0.22,-0.046)","1",17183
27027,"10","[0.033,0.052)","9",27027
13135,"21","[0.052,0.11]","10",13135
26159,"12","[0.021,0.033)","8",26159
53027,"3","[-0.021,-0.011)","4",53027
21059,"3","[-0.22,-0.046)","1",21059
21157,"24","[-0.0028,0.0083)","6",21157
37187,"28","[-0.032,-0.021)","3",37187
45079,"25","[0.052,0.11]","10",45079
46089,"21","[0.021,0.033)","8",46089
54099,"26","[-0.046,-0.032)","2",54099
48487,"14","[-0.046,-0.032)","2",48487
30093,"1","[-0.046,-0.032)","2",30093
31031,"16","[-0.0028,0.0083)","6",31031
33003,"15","[0.033,0.052)","9",33003
28111,"28","[-0.021,-0.011)","4",28111
51153,"10","[0.052,0.11]","10",51153
19147,"9","[-0.032,-0.021)","3",19147
13271,"27","[-0.046,-0.032)","2",13271
19069,"9","[-0.032,-0.021)","3",19069
39105,"14","[-0.046,-0.032)","2",39105
17065,"21","[-0.046,-0.032)","2",17065
20125,"11","[-0.032,-0.021)","3",20125
21141,"19","[-0.032,-0.021)","3",21141
21005,"26","[0.0083,0.021)","7",21005
23015,"15","[0.021,0.033)","8",23015
36113,"13","[0.021,0.033)","8",36113
40121,"9","[-0.032,-0.021)","3",40121
55055,"6","[0.021,0.033)","8",55055
48443,"29","[-0.0028,0.0083)","6",48443
31177,"16","[0.033,0.052)","9",31177
48491,"16","[0.052,0.11]","10",48491
51169,"23","[-0.021,-0.011)","4",51169
13033,"29","[-0.011,-0.0028)","5",13033
28087,"25","[-0.032,-0.021)","3",28087
27085,"5","[0.0083,0.021)","7",27085
13295,"20","[0.0083,0.021)","7",13295
26155,"16","[0.0083,0.021)","7",26155
35007,"19","[-0.011,-0.0028)","5",35007
40081,"22","[0.0083,0.021)","7",40081
41019,"1","[-0.021,-0.011)","4",41019
29081,"13","[-0.22,-0.046)","1",29081
48231,"20","[0.021,0.033)","8",48231
31003,"12","[-0.032,-0.021)","3",31003
48465,"2","[-0.22,-0.046)","1",48465
48427,"3","[-0.22,-0.046)","1",48427
47055,"20","[-0.021,-0.011)","4",47055
45053,"22","[0.0083,0.021)","7",45053
8049,"8","[0.052,0.11]","10",8049
12109,"18","[0.052,0.11]","10",12109
18101,"20","[-0.22,-0.046)","1",18101
27141,"14","[0.052,0.11]","10",27141
5027,"27","[-0.22,-0.046)","1",5027
19187,"4","[-0.046,-0.032)","2",19187
48401,"23","[-0.0028,0.0083)","6",48401
48455,"24","[-0.0028,0.0083)","6",48455
28103,"30","[-0.22,-0.046)","1",28103
19145,"10","[-0.032,-0.021)","3",19145
38099,"10","[-0.046,-0.032)","2",38099
40151,"18","[-0.021,-0.011)","4",40151
41069,"17","[0.033,0.052)","9",41069
42121,"6","[-0.046,-0.032)","2",42121
45033,"25","[-0.22,-0.046)","1",45033
48353,"17","[-0.032,-0.021)","3",48353
50013,"24","[0.033,0.052)","9",50013
13025,"16","[-0.011,-0.0028)","5",13025
5005,"10","[0.021,0.033)","8",5005
6031,"2","[-0.032,-0.021)","3",6031
48121,"16","[0.052,0.11]","10",48121
37029,"29","[0.052,0.11]","10",37029
46053,"10","[-0.046,-0.032)","2",46053
5087,"18","[-0.0028,0.0083)","6",5087
8107,"3","[0.052,0.11]","10",8107
50027,"11","[0.033,0.052)","9",50027
27003,"9","[0.052,0.11]","10",27003
47151,"4","[-0.22,-0.046)","1",47151
36047,"1","[0.021,0.033)","8",36047
37057,"14","[0.021,0.033)","8",37057
45007,"9","[-0.011,-0.0028)","5",45007
33009,"8","[0.033,0.052)","9",33009
49009,"23","[0.052,0.11]","10",49009
18015,"23","[0.021,0.033)","8",18015
5147,"27","[-0.046,-0.032)","2",5147
5075,"20","[-0.032,-0.021)","3",5075
17117,"17","[-0.032,-0.021)","3",17117
38077,"11","[-0.0028,0.0083)","6",38077
13143,"24","[-0.0028,0.0083)","6",13143
39135,"19","[-0.0028,0.0083)","6",39135
2070,"21","[-0.22,-0.046)","1",2070
19105,"12","[-0.0028,0.0083)","6",19105
54007,"12","[-0.046,-0.032)","2",54007
27151,"9","[-0.032,-0.021)","3",27151
22049,"28","[-0.021,-0.011)","4",22049
31099,"21","[0.021,0.033)","8",31099
1009,"19","[-0.011,-0.0028)","5",1009
36111,"10","[0.021,0.033)","8",36111
38049,"23","[-0.011,-0.0028)","5",38049
39161,"9","[-0.032,-0.021)","3",39161
30081,"9","[0.052,0.11]","10",30081
31103,"26","[0.0083,0.021)","7",31103
48095,"29","[0.0083,0.021)","7",48095
31131,"10","[-0.011,-0.0028)","5",31131
17127,"21","[-0.032,-0.021)","3",17127
8087,"2","[-0.032,-0.021)","3",8087
20059,"12","[0.021,0.033)","8",20059
21061,"29","[-0.021,-0.011)","4",21061
1029,"27","[-0.011,-0.0028)","5",1029
22071,"15","[0.052,0.11]","10",22071
6015,"3","[-0.032,-0.021)","3",6015
40125,"16","[0.033,0.052)","9",40125
30099,"13","[0.021,0.033)","8",30099
48307,"18","[-0.032,-0.021)","3",48307
31033,"8","[0.021,0.033)","8",31033
32011,"18","[0.052,0.11]","10",32011
47071,"16","[-0.032,-0.021)","3",47071
37037,"22","[0.021,0.033)","8",37037
26157,"17","[-0.0028,0.0083)","6",26157
26057,"13","[-0.0028,0.0083)","6",26057
17035,"24","[-0.021,-0.011)","4",17035
17085,"16","[-0.0028,0.0083)","6",17085
27071,"3","[-0.22,-0.046)","1",27071
48019,"24","[0.052,0.11]","10",48019
21155,"21","[-0.22,-0.046)","1",21155
35028,"6","[0.052,0.11]","10",35028
42117,"7","[-0.032,-0.021)","3",42117
54035,"15","[-0.032,-0.021)","3",54035
28055,"30","[-0.046,-0.032)","2",28055
28059,"18","[-0.0028,0.0083)","6",28059
51041,"26","[0.052,0.11]","10",51041
51059,"3","[0.052,0.11]","10",51059
19041,"8","[-0.011,-0.0028)","5",19041
47037,"9","[0.052,0.11]","10",47037
37015,"30","[-0.011,-0.0028)","5",37015
13235,"29","[-0.021,-0.011)","4",13235
41033,"3","[0.033,0.052)","9",41033
26001,"22","[0.0083,0.021)","7",26001
20041,"13","[0.021,0.033)","8",20041
21109,"18","[-0.22,-0.046)","1",21109
27111,"5","[0.0083,0.021)","7",27111
42061,"6","[-0.22,-0.046)","1",42061
51003,"5","[0.021,0.033)","8",51003
19063,"9","[-0.032,-0.021)","3",19063
8003,"8","[0.021,0.033)","8",8003
47157,"4","[-0.021,-0.011)","4",47157
36011,"7","[-0.021,-0.011)","4",36011
12057,"5","[0.052,0.11]","10",12057
2275,"14","[-0.032,-0.021)","3",2275
4007,"7","[-0.011,-0.0028)","5",4007
13015,"19","[0.033,0.052)","9",13015
40013,"11","[-0.0028,0.0083)","6",40013
22047,"29","[-0.032,-0.021)","3",22047
35025,"3","[-0.046,-0.032)","2",35025
37103,"30","[0.052,0.11]","10",37103
40111,"15","[-0.011,-0.0028)","5",40111
47083,"21","[-0.046,-0.032)","2",47083
31037,"3","[-0.22,-0.046)","1",31037
42003,"1","[-0.046,-0.032)","2",42003
5139,"19","[-0.22,-0.046)","1",5139
21105,"28","[-0.046,-0.032)","2",21105
13037,"30","[-0.021,-0.011)","4",13037
16029,"10","[-0.0028,0.0083)","6",16029
35035,"6","[0.021,0.033)","8",35035
37111,"6","[-0.021,-0.011)","4",37111
28153,"28","[-0.22,-0.046)","1",28153
47155,"15","[0.033,0.052)","9",47155
6099,"1","[-0.011,-0.0028)","5",6099
20011,"7","[-0.046,-0.032)","2",20011
27169,"3","[-0.0028,0.0083)","6",27169
13023,"27","[-0.021,-0.011)","4",13023
39165,"20","[0.033,0.052)","9",39165
50021,"3","[-0.032,-0.021)","3",50021
21003,"19","[-0.046,-0.032)","2",21003
21017,"26","[-0.011,-0.0028)","5",21017
2188,"25","[-0.22,-0.046)","1",2188
39131,"14","[-0.032,-0.021)","3",39131
29167,"13","[0.033,0.052)","9",29167
48105,"25","[-0.22,-0.046)","1",48105
34001,"6","[-0.0028,0.0083)","6",34001
49033,"13","[0.033,0.052)","9",49033
42021,"3","[-0.046,-0.032)","2",42021
29175,"9","[-0.032,-0.021)","3",29175
51700,"26","[0.052,0.11]","10",51700
5093,"23","[-0.22,-0.046)","1",5093
6003,"20","[0.052,0.11]","10",6003
45001,"28","[-0.021,-0.011)","4",45001
8035,"11","[0.052,0.11]","10",8035
8119,"18","[0.052,0.11]","10",8119
48213,"21","[0.021,0.033)","8",48213
12121,"14","[0.021,0.033)","8",12121
16079,"5","[-0.0028,0.0083)","6",16079
21207,"13","[-0.22,-0.046)","1",21207
31133,"21","[-0.011,-0.0028)","5",31133
19091,"12","[-0.011,-0.0028)","5",19091
36091,"13","[0.033,0.052)","9",36091
39133,"15","[0.033,0.052)","9",39133
39129,"24","[0.021,0.033)","8",39129
53055,"3","[0.033,0.052)","9",53055
55109,"9","[0.052,0.11]","10",55109
29005,"15","[-0.046,-0.032)","2",29005
29125,"23","[-0.011,-0.0028)","5",29125
31147,"10","[-0.22,-0.046)","1",31147
31127,"14","[-0.0028,0.0083)","6",31127
31095,"7","[-0.032,-0.021)","3",31095
29159,"4","[-0.021,-0.011)","4",29159
19099,"11","[-0.011,-0.0028)","5",19099
13297,"27","[0.033,0.052)","9",13297
28033,"29","[0.021,0.033)","8",28033
29011,"14","[-0.021,-0.011)","4",29011
41007,"4","[0.033,0.052)","9",41007
12045,"22","[0.0083,0.021)","7",12045
17071,"23","[-0.021,-0.011)","4",17071
55078,"19","[-0.22,-0.046)","1",55078
27109,"2","[0.021,0.033)","8",27109
23027,"12","[0.021,0.033)","8",23027
37055,"17","[0.033,0.052)","9",37055
38053,"17","[0.033,0.052)","9",38053
40047,"4","[-0.011,-0.0028)","5",40047
40129,"28","[-0.021,-0.011)","4",40129
40045,"25","[-0.0028,0.0083)","6",40045
46083,"19","[0.052,0.11]","10",46083
53031,"7","[0.052,0.11]","10",53031
30095,"18","[0.033,0.052)","9",30095
48063,"26","[-0.011,-0.0028)","5",48063
12077,"24","[-0.032,-0.021)","3",12077
46091,"14","[-0.032,-0.021)","3",46091
5033,"12","[0.0083,0.021)","7",5033
26149,"6","[-0.011,-0.0028)","5",26149
55033,"6","[0.021,0.033)","8",55033
20131,"6","[-0.046,-0.032)","2",20131
50017,"16","[0.021,0.033)","8",50017
31169,"10","[-0.0028,0.0083)","6",31169
22011,"24","[-0.0028,0.0083)","6",22011
39143,"13","[-0.011,-0.0028)","5",39143
42081,"3","[-0.032,-0.021)","3",42081
55087,"5","[0.021,0.033)","8",55087
55003,"5","[-0.046,-0.032)","2",55003
30097,"10","[0.033,0.052)","9",30097
48131,"28","[-0.22,-0.046)","1",48131
29037,"17","[0.052,0.11]","10",29037
20077,"11","[-0.032,-0.021)","3",20077
29109,"13","[0.0083,0.021)","7",29109
8051,"4","[0.052,0.11]","10",8051
19001,"20","[-0.021,-0.011)","4",19001
13231,"29","[0.033,0.052)","9",13231
18011,"14","[0.052,0.11]","10",18011
40015,"23","[-0.046,-0.032)","2",40015
16053,"6","[0.021,0.033)","8",16053
20109,"15","[-0.011,-0.0028)","5",20109
26029,"13","[0.021,0.033)","8",26029
38011,"16","[-0.032,-0.021)","3",38011
55057,"11","[0.0083,0.021)","7",55057
48303,"3","[-0.0028,0.0083)","6",48303
28027,"29","[-0.22,-0.046)","1",28027
28089,"30","[0.052,0.11]","10",28089
28131,"23","[-0.0028,0.0083)","6",28131
51650,"29","[0.052,0.11]","10",51650
18035,"7","[-0.011,-0.0028)","5",18035
19173,"19","[-0.032,-0.021)","3",19173
16059,"5","[0.0083,0.021)","7",16059
23019,"3","[-0.021,-0.011)","4",23019
13019,"24","[-0.0028,0.0083)","6",13019
13187,"19","[0.033,0.052)","9",13187
13183,"29","[0.052,0.11]","10",13183
2282,"26","[-0.046,-0.032)","2",2282
19049,"15","[0.052,0.11]","10",19049
55091,"16","[-0.0028,0.0083)","6",55091
20143,"20","[-0.0028,0.0083)","6",20143
21101,"11","[-0.032,-0.021)","3",21101
21051,"9","[-0.22,-0.046)","1",21051
1079,"27","[-0.032,-0.021)","3",1079
1051,"26","[0.0083,0.021)","7",1051
37035,"13","[0.033,0.052)","9",37035
48141,"1","[0.052,0.11]","10",48141
31055,"1","[-0.011,-0.0028)","5",31055
31079,"2","[-0.021,-0.011)","4",31079
48155,"30","[0.0083,0.021)","7",48155
42063,"8","[-0.011,-0.0028)","5",42063
29131,"18","[0.0083,0.021)","7",29131
21197,"19","[-0.22,-0.046)","1",21197
46023,"9","[-0.22,-0.046)","1",46023
13205,"28","[-0.046,-0.032)","2",13205
39053,"13","[-0.046,-0.032)","2",39053
27103,"14","[0.052,0.11]","10",27103
21103,"27","[0.0083,0.021)","7",21103
1041,"26","[-0.046,-0.032)","2",1041
1049,"9","[-0.046,-0.032)","2",1049
40103,"23","[-0.011,-0.0028)","5",40103
47005,"18","[-0.032,-0.021)","3",47005
48293,"23","[-0.021,-0.011)","4",48293
48185,"27","[0.021,0.033)","8",48185
48507,"22","[-0.22,-0.046)","1",48507
51141,"21","[-0.021,-0.011)","4",51141
29113,"19","[0.033,0.052)","9",29113
13237,"27","[-0.0028,0.0083)","6",13237
51161,"4","[0.0083,0.021)","7",51161
18131,"17","[-0.011,-0.0028)","5",18131
48277,"8","[-0.046,-0.032)","2",48277
22035,"29","[-0.22,-0.046)","1",22035
25021,"5","[0.021,0.033)","8",25021
17095,"6","[-0.046,-0.032)","2",17095
27093,"8","[0.0083,0.021)","7",27093
13281,"25","[0.033,0.052)","9",13281
25027,"1","[-0.032,-0.021)","3",25027
53069,"15","[0.033,0.052)","9",53069
56019,"11","[0.033,0.052)","9",56019
29029,"21","[0.033,0.052)","9",29029
47171,"15","[-0.0028,0.0083)","6",47171
55139,"5","[0.033,0.052)","9",55139
29155,"23","[-0.22,-0.046)","1",29155
19097,"12","[-0.032,-0.021)","3",19097
16085,"9","[0.052,0.11]","10",16085
51181,"30","[0.033,0.052)","9",51181
6059,"1","[0.052,0.11]","10",6059
8065,"8","[0.052,0.11]","10",8065
46111,"20","[-0.032,-0.021)","3",46111
12027,"8","[-0.021,-0.011)","4",12027
19161,"10","[-0.021,-0.011)","4",19161
20001,"7","[-0.032,-0.021)","3",20001
29077,"4","[0.033,0.052)","9",29077
31107,"17","[-0.046,-0.032)","2",31107
34041,"20","[0.033,0.052)","9",34041
19015,"12","[0.0083,0.021)","7",19015
56013,"2","[-0.046,-0.032)","2",56013
36093,"12","[0.033,0.052)","9",36093
46055,"26","[-0.021,-0.011)","4",46055
55115,"11","[-0.011,-0.0028)","5",55115
12081,"11","[0.052,0.11]","10",12081
37023,"8","[-0.0028,0.0083)","6",37023
21199,"9","[-0.046,-0.032)","2",21199
26089,"19","[0.052,0.11]","10",26089
1121,"21","[-0.046,-0.032)","2",1121
22067,"24","[-0.22,-0.046)","1",22067
54107,"6","[-0.011,-0.0028)","5",54107
54019,"18","[-0.032,-0.021)","3",54019
55127,"9","[0.033,0.052)","9",55127
55105,"4","[-0.0028,0.0083)","6",55105
35031,"4","[-0.011,-0.0028)","5",35031
29071,"5","[-0.011,-0.0028)","5",29071
5029,"22","[-0.011,-0.0028)","5",5029
42111,"5","[-0.22,-0.046)","1",42111
47165,"22","[0.052,0.11]","10",47165
17201,"3","[-0.021,-0.011)","4",17201
36103,"1","[-0.032,-0.021)","3",36103
17063,"24","[0.021,0.033)","8",17063
54103,"20","[-0.22,-0.046)","1",54103
26093,"17","[0.052,0.11]","10",26093
20021,"16","[-0.011,-0.0028)","5",20021
27157,"8","[0.0083,0.021)","7",27157
21075,"30","[-0.0028,0.0083)","6",21075
21237,"23","[-0.22,-0.046)","1",21237
